catalog	id	relationship	url	title	editor_status	proposal_stage	published_status	published_date	published_url	standing	organization	browser_target	series	repository	tests	tags	review_state	source	row_sha256
browser-specs	tracestate-ids-registry	umbrella	https://w3c.github.io/tracestate-ids-registry/	Tracestate Ids Registry	Editor's Draft	NOT_APPLICABLE	UNKNOWN	UNKNOWN	UNKNOWN	good	W3C	no	tracestate-ids-registry	https://github.com/w3c/tracestate-ids-registry			CATALOG_INGESTED	index.json	7d90bcf221f21166ba186e08862eda001d8ef88f0b921096642647487106bf79
browser-specs	tracking-dnt	umbrella	https://www.w3.org/TR/tracking-dnt/	Tracking Preference Expression (DNT)	Editor's Draft	NOT_APPLICABLE	Discontinued Draft	UNKNOWN	https://www.w3.org/TR/tracking-dnt/	discontinued	W3C	yes	tracking-dnt	https://github.com/w3c/dnt			CATALOG_INGESTED	index.json	cad3e91e844a06d87818f084d2f3f4c747e7ebf4e7b13538c1e19bf6814755b1
browser-specs	trusted-types	umbrella	https://www.w3.org/TR/trusted-types/	Trusted Types	Editor's Draft	NOT_APPLICABLE	Working Draft	UNKNOWN	https://www.w3.org/TR/trusted-types/	good	W3C	yes	trusted-types	https://github.com/w3c/trusted-types	trusted-types	security-privacy	CATALOG_INGESTED	index.json	442f13247eefc38cba4a736f6a44a260ccd909ca4316fb7fa00abc244ccc08a0
browser-specs	ttml-imsc1.2	umbrella	https://www.w3.org/TR/ttml-imsc1.2/	TTML Profiles for Internet Media Subtitles and Captions 1.2	Editor's Draft	NOT_APPLICABLE	Recommendation	UNKNOWN	https://www.w3.org/TR/ttml-imsc1.2/	good	W3C	no	ttml-imsc			graphics-media	CATALOG_INGESTED	index.json	f4fcc8188d87bf7456c073dd20a26b3103eb73f58b95f8f92298cab76aa25fe7
browser-specs	ttml-imsc1.3	umbrella	https://www.w3.org/TR/ttml-imsc1.3/	IMSC Text Profile 1.3	Editor's Draft	NOT_APPLICABLE	Recommendation	UNKNOWN	https://www.w3.org/TR/ttml-imsc1.3/	good	W3C	no	ttml-imsc	https://github.com/w3c/imsc			CATALOG_INGESTED	index.json	36485080f2e8c287aeeec4b5055c2f4da884da557aec87ea771c25d40a23da62
browser-specs	ttml2	umbrella	https://www.w3.org/TR/ttml2/	Timed Text Markup Language 2 (TTML2) (2nd Edition)	Editor's Draft	NOT_APPLICABLE	Candidate Recommendation Snapshot	UNKNOWN	https://www.w3.org/TR/ttml2/	good	W3C	no	ttml	https://github.com/w3c/ttml2		accessibility-i18n	CATALOG_INGESTED	index.json	2063d2018e8903efab718c9762bb1fc3a1a4a58f56dba715282825eb358eb3f7
browser-specs	uievents	umbrella	https://www.w3.org/TR/uievents/	UI Events	Editor's Draft	NOT_APPLICABLE	Working Draft	UNKNOWN	https://www.w3.org/TR/uievents/	good	W3C	yes	uievents	https://github.com/w3c/uievents	uievents		CATALOG_INGESTED	index.json	849e659ee02185fe8e09871594cdc0ff74e075a047b89f50e7d93764d9e302d4
browser-specs	uievents-code	umbrella	https://www.w3.org/TR/uievents-code/	UI Events KeyboardEvent code Values	Editor's Draft	NOT_APPLICABLE	Recommendation	UNKNOWN	https://www.w3.org/TR/uievents-code/	good	W3C	yes	uievents-code	https://github.com/w3c/uievents-code			CATALOG_INGESTED	index.json	1d7c616f5ab617e10ebf155a93350e4eba9e6a79c6886d273acb0c9529d2f005
browser-specs	uievents-key	umbrella	https://www.w3.org/TR/uievents-key/	UI Events KeyboardEvent key Values	Editor's Draft	NOT_APPLICABLE	Recommendation	UNKNOWN	https://www.w3.org/TR/uievents-key/	good	W3C	yes	uievents-key	https://github.com/w3c/uievents-key			CATALOG_INGESTED	index.json	b4879ed736f8f82e5852ed209ae5872bdaed29789018fbf9994b33cabf9adc72
browser-specs	unencoded-digest	umbrella	https://datatracker.ietf.org/doc/html/draft-ietf-httpbis-unencoded-digest	HTTP Unencoded Digest	Editor's Draft	NOT_APPLICABLE	UNKNOWN	UNKNOWN	UNKNOWN	good	IETF	yes	unencoded-digest	https://github.com/httpwg/http-extensions		network-realtime	CATALOG_INGESTED	index.json	e02efee1881d4dc0dd2f759c678bf85cd1d9eead61ad42e2f96750b2d38cb963
